Event Date,Number of Shows,Headliner,Promoter,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min USD,Ticket Price Max USD,Ticket Price Avg. USD,Venue Type,Tickets Sold,Total Gross,Venue Address
1/24/2026,1,Slaughter To Prevail,Live Nation,3740,216719.77,4304.0,0.86,29.57,59.13,57.95,Arena,3740,216719.77,"Velodrom, Berlin, Germany"
1/24/2026,1,Xavier Naidoo,Live Nation,11000,1299609.07,11064.0,0.99,94.49,141.8,118.15,Arena,11000,1299609.07,"SAP Arena, Mannheim, Germany"
1/24/2026,1,José Madero,OCESA,49416,3466724.42,50373.0,0.98,34.56,241.9,70.15,Stadium,49416,3466724.42,"Estadio GNP Seguros, Mexico City, Mexico"
1/24/2026,1,Brian Regan,Live Nation,2709,131479.58,3865.0,0.7,39.5,75.0,48.53,Arena,2709,131479.58,"Mountain America Center, Idaho Falls, United States"
1/24/2026,1,Halsey,"Live Nation, Prime Entertainment",7372,526017.03,7415.0,0.99,70.96,70.96,71.35,Theater ,7372,526017.03,"Mitsubishi Electric Halle, Dusseldorf, Germany"
1/24/2026,1,Fito &amp; Fitipaldis,Live Nation,16162,858255.25,16162.0,1.0,53.81,53.81,53.1,Arena,16162,858255.25,"Roig Arena, Valencia, Spain"
1/24/2026,1,Xavi,"Hard Rock International (HRI), Live Nation",2180,183640.0,2180.0,1.0,39.5,149.5,84.24,Club,2180,183640.0,"Hard Rock Live Sacramento, Wheatland, United States"
1/24/2026,1,Eagles,Live Nation,16384,4629944.9,16384.0,1.0,120.0,311.0,282.59,Arena,16384,4629944.9,"Sphere, Las Vegas, United States"
1/24/2026,3,"""Dancing With The Stars Live""","Live Nation, NS2",3168,394297.33,3168.0,1.0,59.5,139.5,124.45,Theater ,9505,1182892.0,"Wang Theatre - Boch Center, Boston, United States"
1/24/2026,1,Rascal Flatts,Live Nation,11161,682595.5,12950.0,0.86,15.75,165.75,61.16,Arena,11161,682595.5,"CHI Health Center Omaha, Omaha, United States"
1/24/2026,1,Zayn,Live Nation,5286,862830.0,5286.0,1.0,79.5,499.0,163.23,Theater ,5286,862830.0,"Dolby Live at Park MGM Las Vegas, Las Vegas, United States"
1/24/2026,1,Parker McCollum,Live Nation,8083,364851.5,8083.0,1.0,20.5,90.5,45.14,Arena,8083,364851.5,"Desert Diamond Arena, Glendale, United States"
1/24/2026,1,C-Kan,OCESA,5252,183645.49,6486.0,0.8,17.28,120.95,34.97,Theater ,5252,183645.49,"Pepsi Center Mexico, Mexico City, Mexico"
1/24/2026,1,JMSN,Live Nation,867,25576.5,867.0,1.0,29.5,29.5,29.5,Club,867,25576.5,"August Hall, San Francisco, United States"
1/24/2026,1,White Lies,Live Nation / Gaiety Investments (MCD Productions),850,37847.61,850.0,1.0,44.59,44.59,44.53,Theater ,850,37847.61,"The Academy, Dublin, Ireland"
1/25/2026,1,"""The Fast Show""",Live Nation / Gaiety Investments (MCD Productions),1804,85263.52,1886.0,0.95,43.66,47.76,47.26,Theater ,1804,85263.52,"Waterfront Hall, Belfast, United Kingdom"
1/25/2026,1,Yacht Rock Revue,"(In-House Promotion), Live Nation",1118,68918.58,1147.0,0.97,39.5,66.5,61.64,Theater ,1118,68918.58,"The Parker, Fort Lauderdale, United States"
1/25/2026,1,"""The Fast Show""",Live Nation / Gaiety Investments (MCD Productions),395,20063.61,395.0,1.0,50.76,50.76,50.79,Theater ,395,20063.61,"Waterfront Hall, Belfast, United Kingdom"
1/25/2026,1,Slaughter To Prevail,Live Nation,3484,201329.57,6400.0,0.54,29.57,59.14,57.79,Arena,3484,201329.57,"Alsterdorfer Sporthalle, Hamburg, Germany"
1/25/2026,1,John R. Miller,Live Nation / Gaiety Investments (MCD Productions),60,1454.97,60.0,1.0,24.25,24.25,24.25,Club,60,1454.97,"Upstairs At Whelans, Dublin, Ireland"
1/25/2026,1,Yacht Rock Revue,"(In-House Promotion), Live Nation",1117,63227.5,1117.0,1.0,39.5,66.5,56.6,Theater ,1117,63227.5,"The Parker, Fort Lauderdale, United States"
1/25/2026,1,Zayn,Live Nation,4131,570673.0,4131.0,1.0,79.5,499.0,138.14,Theater ,4131,570673.0,"Dolby Live at Park MGM Las Vegas, Las Vegas, United States"
1/25/2026,1,Zachariah Porter,Live Nation,581,24913.0,677.0,0.85,37.0,57.0,42.88,Club,581,24913.0,"The Neptune, Seattle, United States"
1/25/2026,4,Lady Gaga,Live Nation,46213,7760232.52,46335.0,0.99,62.94,758.82,167.92,Stadium,184855,31040930.06,"Tokyo Dome, Tokyo, Japan"
1/26/2026,7,"""The Lion King""",OCESA,616,50497.83,1400.0,0.44,57.56,287.82,81.98,Theater ,4312,353484.8,"Teatro Telcel, Mexico City, Mexico"
1/26/2026,7,"""The Phantom Of The Opera""",OCESA,630,66111.15,1400.0,0.45,46.05,230.26,104.91,Theater ,4411,462778.07,"Teatro de los Insurgentes, Mexico City, Mexico"
1/26/2026,1,Lucinda Williams,Live Nation / Gaiety Investments (MCD Productions),797,67531.32,1000.0,0.79,84.67,84.67,84.73,Theater ,797,67531.32,"3Olympia Theatre, Dublin, Ireland"
1/26/2026,6,Joanne McNally,Live Nation / Gaiety Investments (MCD Productions),188,10269.75,200.0,0.94,54.43,54.43,54.43,Theater ,1132,61618.48,"Cork Opera House, Cork, Ireland"
1/27/2026,1,Xavier Naidoo,Live Nation,11000,1304775.28,11064.0,0.99,94.87,142.36,118.62,Arena,11000,1304775.28,"SAP Arena, Mannheim, Germany"
1/27/2026,1,Jacob Banks,"(In-House Promotion), evenko, Live Nation",987,31122.2,1000.0,0.98,29.13,40.05,31.53,Club,987,31122.2,"Théâtre Beanfield, Montreal, Canada"
